building,month,year,energy_MMBtu,gross_square_feet,occupancy,primary_use
Scott Stadium,Apr,2025,860.7
Scott Stadium,May,2025,777.6
Scott Stadium,June,2025,1091.1
Scott Stadium,July,2025,1362.5
Scott Stadium,Aug,2025,1101.9
Scott Stadium,Sep,2025,1162.3
Scott Stadium,Oct,2025,1004.8
Scott Stadium,Nov,2025,1257.0
University Hospital,Dec,2024,49888.3,5000000,...,medical
University Hospital,Jan,2025,54753.8
University Hospital,Feb,2025,46995.6
University Hospital,Mar,2025,45688.3
University Hospital,Apr,2025,45135.9
University Hospital,May,2025,46341.0
University Hospital,June,2025,58822.1
University Hospital,July,2025,64089.0
University Hospital,Aug,2025,55543.2
University Hospital,Sep,2025,51890.6
University Hospital,Oct,2025,42569.3
University Hospital,Nov,2025,43342.4
O-Hill,Dec,2024,1477.9,62000,...,dining
O-Hill,Jan,2025,1567.9
O-Hill,Feb,2025,1934.8
O-Hill,Mar,2025,1626.4
O-Hill,Apr,2025,1761.0
O-Hill,May,2025,1466.2
O-Hill,June,2025,2180.1
O-Hill,July,2025,2433.9
O-Hill,Aug,2025,2007.0
O-Hill,Sep,2025,2087.8
O-Hill,Oct,2025,1678.1
O-Hill,Nov,2025,1647.9
Newcomb Hall,Dec,2024,1371.7,201000,...,multi-purpose
Newcomb Hall,Jan,2025,1715.7
Newcomb Hall,Feb,2025,1644.2
Newcomb Hall,Mar,2025,1668.1
Newcomb Hall,Apr,2025,1907.4
Newcomb Hall,May,2025,1805.0
Newcomb Hall,June,2025,2479.7
Newcomb Hall,July,2025,2918.2
Newcomb Hall,Aug,2025,2452.9
Newcomb Hall,Sep,2025,2418.1
Newcomb Hall,Oct,2025,1757.5
Newcomb Hall,Nov,2025,1648.3
